Publisher Name,Series Name,Full Title,Release Date,In Collection,In Wish List,Marked Read,My Rating,Media Format,Price Paid,Date Purchased,Condition,Notes,Tags
Marvel Comics,Generation Next (1995),Generation Next #1,1995-01-10,1,0,1,3.5,Print,1.37,2026-02-04,,,
Marvel Comics,Generation Next (1995),Generation Next #2,1995-02-14,1,0,1,5.0,Print,1.37,2026-02-04,,,Bluechip
Marvel Comics,Generation Next (1995),Generation Next #3,1995-03-14,1,0,1,4.5,Print,1.10,2026-02-04,,,
Marvel Comics,Generation Next (1995),Generation Next #4 Newsstand Edition,1995-04-11,1,0,1,4.5,Print,1.10,2026-02-04,,,Bluechip
Marvel Comics,Hallows' Eve (2023),Hallows' Eve #1 Stanley 'Artgerm' Lau Variant,2023-03-01,1,0,0,,Print,2.20,2026-02-16,,,Sleeper
Marvel Comics,House of X / Powers of X (2019),House of X / Powers of X TP,2020-08-26,1,0,1,5.0,Print,27.33,2026-01-24,,,Excellent Read
Marvel Comics,Immoral X-Men (2023),Immoral X-Men #1,2023-02-22,1,0,0,,Print,1.65,2026-02-01,,,Bluechip
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #1 Leinil Francis Yu Promo Variant,2022-03-30,1,0,0,,Print,2.20,2026-02-01,,,"Bluechip, Sleeper"
Image Comics,Injection (2015 - 2017),Injection #1,2015-05-13,1,0,0,,Print,1.10,2026-02-16,,,Sleeper
DC Comics,Justice League America (1989 - 1996),Justice League America #28,1989-05-11,1,0,0,,Print,0.66,2026-02-04,,,Tradable
Image Comics,King Spawn (2021 - Present),King Spawn Vol. 1 TP,2022-05-25,1,0,0,,Print,9.23,2026-01-24,,,"Excellent Read, Sleeper"
Marvel Comics,Midnight Suns (2022 - 2023),Midnight Suns #1 Seamas Gallagher Game Variant,2022-09-14,1,0,0,,Print,1.65,2026-02-01,,,"Sleeper, Tradable"
Marvel Comics,"Moon Knight: Black, White & Blood (2022)","Moon Knight: Black, White & Blood #1 Chris Bachalo Variant",2022-05-11,1,0,0,,Print,1.65,2026-02-01,,,Sleeper
Image Comics,Napalm Lullaby (2024 - 2025),Napalm Lullaby #1 Cover B Daniel Warren Johnson Variant,2024-03-13,1,0,0,,Print,1.04,2026-06-02,,,Sleeper
BOOM! Studios,Once & Future (2019 - 2022),Once & Future #13 Justine Frany Virgin Variant,2020-11-18,1,0,0,,Print,1.65,2026-02-01,,,"Bluechip, Sleeper"
Marvel Comics,"Patsy Walker, AKA Hellcat! (2015 - 2017)","Patsy Walker, AKA Hellcat! #9",2016-08-24,1,0,0,,Print,,,,Gifted (Uncle Dominic),Tradable
DC Comics,Preacher Special: One Man's War (1998),Preacher Special: One Man's War #1,1998-01-14,1,0,0,,Print,1.04,,,,Bluechip
Image Comics,Radiant Black (2021 - Present),Radiant Black Vol. 1: (Not So) Secret Origin TP,2021-08-18,1,0,0,,Print,8.14,2026-01-24,,,Sleeper
Image Comics,Savage Dragon (Vol. 2) (1993 - Present),Savage Dragon #1,1993-06-08,1,0,0,,Print,1.65,2026-02-16,,,Sleeper
DC Comics,Secret History of The Authority: Hawksmoor (2008),Secret History of The Authority: Hawksmoor #1,2008-03-26,1,0,0,,Print,0.66,2026-02-04,,,
Archie Comics,Sonic the Hedgehog (Vol. 2) (1993 - 2017),Sonic the Hedgehog #40,1996-08-14,1,0,0,,Print,0.66,2026-02-04,,,
Archie Comics,Sonic the Hedgehog (Vol. 2) (1993 - 2017),Sonic the Hedgehog #69 Newsstand Edition,1999-01-27,1,0,0,,Print,,,,,
Archie Comics,Sonic the Hedgehog (Vol. 2) (1993 - 2017),Sonic the Hedgehog #210,2010-03-03,1,0,0,,Print,,,,,
Image Comics,Spawn (1992 - Present),Spawn #281,2018-01-03,1,0,0,,Print,1.65,2026-02-01,,,"Bluechip, Sleeper"
Marvel Comics,Spider-Gwen: Gwenverse (2022),Spider-Gwen: Gwenverse #1 Greg Land Homage Variant,2022-03-09,1,0,0,,Print,1.65,2026-02-16,,,Excellent Read
Marvel Comics,Spider-Gwen: Shadow Clones (2023),Spider-Gwen: Shadow Clones #1 Pink Blank Variant,2023-03-01,1,0,1,4.0,Print,1.65,2026-02-01,,,"Bluechip, Sleeper"
Marvel Comics,Spider-Man: India (Vol. 2) (2023),Spider-Man: India #1 2nd Printing Malsuni,2023-07-26,1,0,0,,Print,0.66,2026-02-04,,,Sleeper
Marvel Comics,"Star Wars: Darth Maul ? Black, White & Red (2024)","Star Wars: Darth Maul ? Black, White & Red #1",2024-04-24,1,0,0,,Print,1.56,2026-06-02,,,
Marvel Comics,"Star Wars: Darth Vader ? Black, White & Red (2023)","Star Wars: Darth Vader ? Black, White & Red #1",2023-04-26,1,0,0,,Print,1.65,2026-02-01,,,"Bluechip, Sleeper"
Marvel Comics,Star Wars: The Mandalorian (Vol. 1) (2022 - 2023),Star Wars: The Mandalorian #2 Christian Alzmann Concept Art Variant,2022-08-17,1,0,0,,Print,2.20,2026-02-01,,,Bluechip
DC Comics,Starman (Vol. 2) (1994 - 2001),Starman #1,1994-09-22,1,0,0,,Print,2.08,2026-06-02,,,
Image Comics,StormWatch (Vol. 1) (1993 - 1997),StormWatch #1,1993-03-30,1,0,0,,Print,2.20,2026-02-16,,,Sleeper
DC Comics,Superman: Son of Kal-El (2021 - 2022),Superman: Son of Kal-El Vol. 1 ? The Truth TP,2023-04-11,1,0,1,5.0,Print,11.72,2026-01-24,,,Excellent Read
Image Comics,SuperPatriot (1993),SuperPatriot #1,1993-07-01,1,0,0,,Print,0.66,2026-02-04,,,Sleeper
Marvel Comics,Tomorrow Knights (1990),Tomorrow Knights #6,1990-11-01,1,0,0,,Print,0.66,2026-02-04,,,
Marvel Comics,Ultimate Spider-Man (Vol. 3) (2024 - 2026),Ultimate Spider-Man by Jonathan Hickman Vol. 1: Married with Children TP,2024-09-10,1,0,1,5.0,Print,14.81,2026-01-24,,,Excellent Read
Marvel Comics,Weapon X (Vol. 1) (1995),Weapon X #4 Newsstand Edition,1995-04-11,1,0,0,,Print,1.10,2026-02-04,,,Bluechip
Marvel Comics,Wild Cards (1990),Wild Cards #4,1990-12-05,1,0,0,,Print,0.66,2026-02-04,,,
DC Comics,The World of Krypton (Vol. 1) (1979),The World of Krypton #1,1979-07-01,1,0,0,,Print,2.61,2026-06-02,,,Bluechip
Marvel Comics,X-Man (1995 - 2001),X-Man #1,1995-01-03,1,0,0,,Print,2.20,2026-02-04,,,Bluechip
Marvel Comics,X-Men (Vol. 6) (2019 - 2021),X-Men #12,2020-09-16,1,0,0,,Print,1.65,2026-02-16,,,Excellent Read
DC Comics,Action Comics (Vol. 3) (2016 - Present),Superman: Action Comics Vol. 1 ? Warworld Rising TP,2022-03-08,0,1,0,,Print,,,,,
Marvel Comics,The Astonishing X-Men (Vol. 1) (1995),The Astonishing X-Men #1,1995-01-03,0,1,0,,Print,,,,,
Marvel Comics,The Astonishing X-Men (Vol. 1) (1995),The Astonishing X-Men #2,1995-02-07,0,1,0,,Print,,,,,
Marvel Comics,The Astonishing X-Men (Vol. 1) (1995),The Astonishing X-Men #3,1995-03-07,0,1,0,,Print,,,,,
Marvel Comics,The Astonishing X-Men (Vol. 1) (1995),The Astonishing X-Men #4,1995-04-04,0,1,0,,Print,,,,,
Image Comics,Black Science (2013 - 2019),Black Science #1 3rd Printing,2014-03-26,0,1,0,,Print,,,,,
Image Comics,Bug Wars (2025 - Present),Bug Wars Vol. 1: Lost in the Yard TP,2025-10-08,0,1,0,,Print,,,,,
Dark Horse Comics,Dept. H (2016 - 2018),Dept. H #1,2016-04-20,0,1,0,,Print,,,,,
Image Comics,D'Orc (2026 - Present),D'Orc #1,2026-02-04,0,1,0,,Print,,,,,
Marvel Comics,Edge of Spider-Verse (Vol. 1) (2014),Edge of Spider-Verse #2,2014-09-17,0,1,0,,Print,,,,,
DC Comics,End of Life (2026 - Present),End of Life #1,2026-02-18,0,1,0,,Print,,,,,
Marvel Comics,Hulk (Vol. 5) (2021 - 2023),Hulk #6,2022-04-20,0,1,0,,Print,,,,,
Marvel Comics,Marvel / DC: Spider-Man / Superman (2026),Marvel / DC: Spider-Man / Superman #1,2026-04-22,0,1,0,,Print,,,,,
Mad Cave Studios,The Pale Knight (2025),The Pale Knight #1,2025-05-28,0,1,0,,Print,,,,,
Image Comics,Paper Girls (2015 - 2019),Paper Girls #1,2015-10-07,0,1,0,,Print,,,,,
Mad Cave Studios,The Phantom (2025 - Present),The Phantom #1,2025-09-24,0,1,0,,Print,,,,,
Mad Cave Studios,The Phantom (2025 - Present),The Phantom Vol. 1 TP,2026-07-14,0,1,0,,Print,,,,,
Marvel Comics,Rogue (Vol. 4) (2026),Rogue #1,2026-01-21,0,1,0,,Print,,,,,
DC Comics,Superman: Son of Kal-El (2021 - 2022),Superman: Son of Kal-El #1,2021-07-27,0,1,0,,Print,,,,,
Image Comics,Velvet (2014 - 2016),Velvet #1,2013-10-23,0,1,0,,Print,,,,,
Marvel Comics,X of Swords (2021 - 2022),X of Swords TP,2022-01-12,0,1,1,5,Print,,,,,
Marvel Comics,X-Men: Omega (1995),X-Men: Omega #1,1995-04-25,0,1,0,,Print,,,,,
Marvel Comics,X-Men: The Age of Apocalypse (2012 - 2016),X-Men: The Age of Apocalypse Vol. 2 ? Reign TP,2015-10-14,0,1,0,,Print,,,,,
DC Comics,Batman (Vol. 3) (2016 - 2026),Batman Vol. 1: I Am Gotham TP,2017-01-11,0,0,1,4,Print,,,,,
